generation,parent_idx,lineage_id,m_active,A_delta_fro,condition_number_after,shrink_applied,psd_fallback,active_js,v_norms
5,11,82,1,0.015225158133777852,1.2326212456043177,True,False,[15],[0.029845871968077413]
5,12,100,1,0.08229276405418753,1.2809289040641147,True,False,[16],[0.02661044294339248]
5,13,43,2,0.011295008177043268,1.2013822341898093,True,False,"[12, 15]","[0.03571310541561682, 0.03415194959271574]"
5,14,26,1,0.015188975144706572,1.1315030521277707,True,False,[7],[0.021409233523695587]
5,15,84,1,0.037672604500009046,1.2597539481340432,True,False,[7],[0.07462493864705215]
5,16,66,1,0.015911630607809167,1.1581078396157696,True,False,[5],[0.03352527840175436]
5,17,89,1,0.015044833522892525,1.286858151900115,True,False,[5],[0.041055073733791324]
5,19,68,1,0.015139720327890323,1.277222694816682,True,False,[8],[0.051058076886682055]
5,20,77,1,0.10956244803135522,1.4954491354910584,True,False,[5],[0.04927983280742789]
5,22,4,1,0.01617637981020446,1.0487082390269067,True,False,[7],[0.053375207996840195]
5,23,57,1,0.015225808331691055,1.201421029337009,True,False,[7],[0.03668926265141133]
6,0,58,3,0.013576739072339574,1.3062509177147146,True,False,"[8, 12, 15]","[0.029233926099388637, 0.029233926099388637, 0.05378661895843503]"
6,1,86,1,0.014313501259150478,1.4381188685007247,True,False,[7],[0.05898485185663059]
6,2,19,2,0.01603426056449116,1.057443970522564,True,False,"[7, 8]","[0.04304526820199798, 0.05075649096362021]"
6,4,27,3,0.012706834985721371,1.1745793465603098,True,False,"[8, 11, 12]","[0.04588838530410615, 0.03337552091339951, 0.05746077850096703]"
6,6,0,1,0.01554813960325273,1.056906739181909,True,False,[5],[0.05883946991752212]
6,7,35,1,0.015993711588874658,1.3193340678174403,True,False,[5],[0.05492001810913345]
6,8,7,1,0.014919437703693134,1.0585487565034126,True,False,[7],[0.03809214358399181]
6,9,106,2,0.011206661423040087,1.2189164902418492,True,False,"[7, 8]","[0.07877852949346698, 0.045879359891572484]"
6,10,73,1,0.015400157444646716,1.209050045826818,True,False,[7],[0.06999211143301563]
6,12,82,1,0.013784252729575643,1.254898020423058,True,False,[7],[0.047444872095268646]
6,13,100,1,0.01638069620668763,1.2853213667470458,True,False,[6],[0.03501710093115367]
6,14,43,3,0.015228804402685262,1.203885203521286,True,False,"[7, 12, 15]","[0.06299658178180695, 0.06446144175397832, 0.06446144175397832]"
6,15,26,1,0.01536541784440746,1.1263540597167658,True,False,[8],[0.03421225444218493]
6,16,84,1,0.014353928372141101,1.2592176694410535,True,False,[8],[0.07493414840454327]
6,17,66,2,0.014766781577379783,1.1724891704972122,True,False,"[7, 12]","[0.08221684259681392, 0.02499107865399644]"
6,18,89,2,0.015616713874691237,1.2864428827355505,True,False,"[11, 12]","[0.03899235878416052, 0.03899235878416052]"
6,19,80,1,0.01551807230429962,1.1156738965732387,True,False,[15],[0.04068403172941525]
6,20,131,1,0.04120420167938699,1.2584649915264738,True,False,[5],[0.07668949627277798]
6,21,77,1,0.015550274380694808,1.4935934699785416,True,False,[8],[0.05720861034169459]
6,23,57,2,0.011392691923298693,1.2117357900267935,True,False,"[7, 16]","[0.032518567705552025, 0.029088353881587207]"
7,0,58,2,0.014251865434268093,1.301986246811854,True,False,"[12, 15]","[0.045633595371882704, 0.06946263672472208]"
