generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
87,13,13,24,0.5416666666666666,0,0,1.2307692307692308,0.02664500497493981,0.114855918237642,True,18,"[0, 0, 0, 0, 0, 3, 0, 5, 4, 0, 0, 0, 2, 0, 0, 2, 0, 0]"
88,15,15,24,0.625,0,0,1.5333333333333334,0.021485155902082224,0.09709624455416119,True,18,"[0, 0, 0, 0, 0, 2, 0, 8, 7, 0, 0, 0, 2, 0, 0, 3, 0, 1]"
89,14,14,24,0.5833333333333334,0,0,1.0714285714285714,0.012466311958586395,0.015991201239058568,True,18,"[0, 0, 0, 0, 0, 5, 0, 5, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
90,15,15,24,0.625,0,0,1.4666666666666666,0.011775161242604542,0.01567712043290885,True,18,"[0, 0, 0, 0, 0, 1, 0, 6, 4, 0, 0, 0, 2, 0, 0, 4, 3, 2]"
91,13,13,24,0.5416666666666666,0,0,1.3076923076923077,0.010933292767275813,0.012369361241602183,True,18,"[0, 0, 0, 0, 0, 2, 0, 8, 3, 0, 0, 0, 1, 0, 0, 2, 1, 0]"
92,14,14,24,0.5833333333333334,0,0,1.2142857142857142,0.014984862124787664,0.05264618067347727,True,18,"[0, 0, 0, 0, 0, 3, 0, 3, 5, 0, 0, 0, 0, 0, 0, 5, 0, 1]"
93,11,11,24,0.4583333333333333,0,0,1.4545454545454546,0.013746825298093441,0.02995123906071031,True,18,"[0, 0, 0, 0, 0, 1, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 1, 2]"
94,16,16,24,0.6666666666666666,0,0,1.375,0.011108327868381632,0.014644016469529004,True,18,"[0, 0, 0, 0, 0, 1, 1, 11, 2, 0, 0, 1, 2, 0, 0, 4, 0, 0]"
95,16,16,24,0.6666666666666666,0,0,1.125,0.012166673612715829,0.016648880662154846,True,18,"[0, 0, 0, 0, 0, 3, 1, 5, 3, 0, 0, 0, 3, 0, 0, 1, 0, 2]"
96,14,14,24,0.5833333333333334,0,0,1.0714285714285714,0.01257688639732769,0.015695714909786267,True,18,"[0, 0, 0, 0, 0, 2, 1, 6, 1, 0, 1, 0, 0, 0, 0, 3, 0, 1]"
97,15,15,24,0.625,0,0,1.1333333333333333,0.01192251397174519,0.015932982863027852,True,18,"[0, 0, 0, 0, 0, 2, 0, 8, 2, 0, 0, 1, 1, 0, 0, 1, 1, 1]"
98,10,10,24,0.4166666666666667,0,0,1.2,0.012223698203821232,0.014658585739892583,True,18,"[0, 0, 0, 0, 0, 2, 0, 3, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1]"
99,13,13,24,0.5416666666666666,0,0,1.1538461538461537,0.01833470335889744,0.07001288460900025,True,18,"[0, 0, 0, 0, 0, 1, 0, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,14,14,24,0.5833333333333334,0,0,1.2142857142857142,0.011840294677417382,0.014393634819075563,True,18,"[0, 0, 0, 0, 0, 3, 0, 6, 3, 0, 0, 0, 1, 0, 0, 1, 2, 1]"
101,12,12,24,0.5,0,0,1.4166666666666667,0.011499420229770402,0.01470774037725375,True,18,"[0, 0, 0, 0, 0, 2, 0, 4, 6, 0, 1, 0, 0, 0, 0, 3, 1, 0]"
102,13,13,24,0.5416666666666666,0,0,1.0769230769230769,0.01235979913591118,0.014387603276444035,True,18,"[0, 0, 0, 0, 0, 1, 1, 4, 4, 0, 0, 0, 1, 0, 0, 3, 0, 0]"
