generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile
215,0,False,0.7066857442111802,[-689.3123398898173],[0.0],[0.0],0.0,-896.3679180403577,-62.38218884704236,212.56082320444585,24,0.0,23,True,0.75
216,0,False,0.7067367941547621,[-680.9098627342495],[0.0],[0.0],0.0,-873.1345847070241,-39.14885551370878,215.27591782765177,24,0.0,24,True,0.75
217,0,False,0.7067367941547621,[-657.6765294009165],[0.0],[0.0],0.0,-849.9012513736911,-15.915522180375774,215.27591782765177,24,0.0,24,True,0.75
218,0,False,0.7082700024880952,[-634.443196067583],[0.0],[0.0],0.0,-826.6679180403577,7.317811152957688,212.80489379145754,24,0.0,24,True,0.75
219,0,False,0.7082700024880952,[-611.2098627342499],[0.0],[0.0],0.0,-803.4345847070246,30.55114448629081,212.80489379145754,24,0.0,24,True,0.75
220,0,False,0.7082700024880952,[-587.9765294009164],[0.0],[0.0],0.0,-780.2012513736911,53.78447781962427,212.80489379145754,24,0.0,24,True,0.75
221,0,False,0.7082136929642857,[-564.743196067583],[0.0],[0.0],0.0,-756.9679180403576,77.01781115295773,212.7985599254439,24,0.0,24,True,0.75
222,0,False,0.7080938749642857,[-541.5098627342499],[0.0],[0.0],0.0,-733.7345847070245,102.01385946374705,213.01802338460263,24,0.0,24,True,0.75
223,0,False,0.7080938749642857,[-518.2765294009164],[0.0],[0.0],0.0,-710.501251373691,125.24719279708052,213.0180233846026,24,0.0,24,True,0.75
224,0,False,0.7078709228452382,[-495.04319606758327],[0.0],[0.0],0.0,-687.2679180403579,148.48052613041364,212.8618252740673,24,0.0,24,True,0.75
225,0,False,0.7071073918928571,[-471.8098627342497],[0.0],[0.0],0.0,-664.0345847070244,171.7138594637472,212.53643680357885,24,0.0,24,True,0.75
226,0,False,0.7100202690952381,[-448.57652940091634],[0.0],[0.0],0.0,-630.4014091144852,194.94719279708056,208.62721371960671,24,0.0,24,True,0.75
227,0,False,0.7097856726666668,[-425.3431960675832],[0.0],[0.0],0.0,-607.1680757811521,218.18052613041368,208.6242647581765,24,0.0,24,True,0.75
228,0,False,0.7095557274285715,[-402.10986273424965],[0.0],[0.0],0.0,-582.0617597531843,241.41385946374726,205.34745486250358,24,0.0,24,True,0.75
229,0,False,0.6982617930833332,[-331.2795404632067],[0.0],[0.0],0.0,-558.828426419851,264.6471927970806,208.12798236541715,24,0.0,24,True,0.75
230,0,False,0.6981454276071428,[-308.04620712987355],[0.0],[0.0],0.0,-535.5950930865179,287.8805261304137,208.08299947684017,24,0.0,24,True,0.75
231,0,False,0.6981454276071428,[-284.81287379654],[0.0],[0.0],0.0,-512.3617597531843,311.1138594637473,208.08299947684017,24,0.0,24,True,0.75
232,0,False,0.7012555707142857,[-341.21692573286714],[0.0],[0.0],0.0,-489.1284264198513,334.3471927970803,161.02121771932096,24,0.0,24,True,0.75
233,0,False,0.7010072933333333,[-317.9835923995337],[0.0],[0.0],0.0,-465.8950930865178,357.5805261304138,161.3032608715832,24,0.0,24,True,0.75
