generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
212,0,False,0.7506181454285715,[-785.7107312253553],[0.0],[0.0],0.0,-1005.8433323773799,-432.15055553882723,208.77148075250946,24,0.0,24,False,,
213,0,False,0.7424698113333333,[-771.7001167235171],[0.0],[0.0],0.0,-982.6099990440464,-408.9172222054938,214.42505757417933,24,0.0,24,False,,
214,0,False,0.7519683805476189,[-781.2172496623424],[0.0],[0.0],0.0,-959.3766657107133,-385.68388887216065,207.72609387866524,24,0.0,24,False,,
215,0,False,0.7519172375714285,[-776.553448829079],[0.0],[0.0],0.0,-936.0148331361805,-362.4505555388272,194.33847466979952,24,0.0,24,False,,
216,0,False,0.7466665387619047,[-742.0410719586375],[0.0],[0.0],0.0,-912.781499802847,-339.2172222054936,197.69650750676195,24,0.0,24,False,,
217,0,False,0.7470249361428571,[-718.9856050252725],[0.0],[0.0],0.0,-889.548166469514,-315.9838888721606,197.8384416230655,24,0.0,24,False,,
218,0,False,0.7513716394761905,[-682.5179928225928],[0.0],[0.0],0.0,-866.3148331361805,-292.75055553882714,197.95250659370765,24,0.0,24,False,,
219,0,False,0.7554448094761904,[-647.7622128841143],[0.0],[0.0],0.0,-843.0814998028474,-269.517222205494,196.46035588081423,24,0.0,24,False,,
220,0,False,0.7543267065,[-625.5292998631334],[0.0],[0.0],0.0,-819.8481664695139,-246.28388887216056,197.3138448967953,24,0.0,24,False,,
221,0,False,0.7543267065,[-602.2959665297999],[0.0],[0.0],0.0,-796.6148331361804,-223.0505555388271,197.3138448967953,24,0.0,24,False,,
222,0,False,0.7552721118571428,[-576.9596285195107],[0.0],[0.0],0.0,-773.3814998028473,-199.81722220549398,195.65172994521646,24,0.0,24,False,,
223,0,False,0.7548968687619048,[-545.0896356275327],[0.0],[0.0],0.0,-750.1481664695139,-176.58388887216051,206.02336919492237,24,0.0,24,False,,
224,0,False,0.7414548497142857,[-510.4717088965508],[0.0],[0.0],0.0,-726.9148331361807,-153.3505555388274,217.5849287561885,24,0.0,24,False,,
225,0,False,0.7415843990000001,[-487.25962344145984],[0.0],[0.0],0.0,-703.6814998028472,-130.11722220549382,217.60468835049187,24,0.0,24,False,,
226,0,False,0.7415414644761905,[-462.48249949100517],[0.0],[0.0],0.0,-680.4481664695138,-106.88388887216047,216.29479869907044,24,0.0,24,False,,
227,0,False,0.7404483251904761,[-440.0092539691171],[0.0],[0.0],0.0,-657.2148331361807,-83.65055553882735,215.87348036327188,24,0.0,24,False,,
228,0,False,0.742315599,[-429.47141606983865],[0.0],[0.0],0.0,-633.9814998028471,-60.41722220549377,215.47297332094954,24,0.0,24,False,,
229,0,False,0.7440783505833334,[-407.76670100686005],[0.0],[0.0],0.0,-610.7481664695138,-37.18388887216042,218.37824106281184,24,0.0,24,False,,
230,0,False,0.7440783505833334,[-384.5333676735269],[0.0],[0.0],0.0,-587.5148331361806,-13.950555538827302,218.37824106281184,24,0.0,24,False,,
231,0,False,0.7409688685595239,[-346.5941962445251],[0.0],[0.0],0.0,-564.2814998028471,9.282777794506273,218.14157633704735,24,0.0,24,False,,
